id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer,,,,,,,,,
111,0.0,-77.7,-77.7,-60.0,-60.0,,,,,,,,,
111,0.1,0.0,0.0,0.0,0.0,,,,,,,,,
111,0.2,77.7,77.7,70.0,70.0,,,,,,,,,
111,0.3,155.4,155.4,140.0,140.0,,,,,,,,,
111,0.4,233.1,233.1,215.0,215.0,,,,,,,,,
111,0.5,310.8,310.8,285.0,285.0,,,,,,,,,
111,0.5,388.5,408.8,470.0,470.0,,,,,,,,,
111,0.6,473.5,508.0,720.0,720.0,,,,,,,,,
111,0.7,572.8,607.3,1000.0,1000.0,,,,,,,,,
111,0.8,672.1,706.6,1210.0,1210.0,,,,,,,,,
111,0.9,771.4,805.9,1360.0,1360.0,,,,,,,,,
111,1.0,870.6,905.2,1485.0,1485.0,,,,,,,,,
112,0.0,-73.1,-73.1,-65.0,-65.0,,,,,,,,,
112,0.1,0.0,0.0,0.0,0.0,,,,,,,,,
112,0.2,73.1,73.1,70.0,70.0,,,,,,,,,
112,0.3,146.2,146.2,145.0,145.0,,,,,,,,,
112,0.3,219.3,219.3,220.0,220.0,,,,,,,,,
112,0.4,292.4,292.4,295.0,295.0,,,,,,,,,
112,0.5,365.5,375.6,415.0,415.0,,,,,,,,,
112,0.6,438.5,466.9,550.0,550.0,,,,,,,,,
112,0.7,529.1,558.1,800.0,800.0,,,,,,,,,
112,0.8,620.3,649.4,1170.0,1170.0,,,,,,,,,
112,0.8,711.6,740.6,1315.0,1315.0,,,,,,,,,
112,0.9,802.8,831.9,1405.0,1405.0,,,,,,,,,
112,1.0,894.1,923.2,1475.0,1475.0,,,,,,,,,
309,0.0,-76.0,-76.0,-75.0,-75.0,,,,,,,,,
309,0.1,0.0,0.0,0.0,0.0,,,,,,,,,
309,0.2,76.0,76.0,75.0,75.0,,,,,,,,,
309,0.3,152.1,152.1,150.0,150.0,,,,,,,,,
309,0.4,228.1,250.8,225.0,225.0,,,,,,,,,
309,0.6,311.9,351.7,460.0,460.0,,,,,,,,,
309,0.7,412.8,452.6,885.0,885.0,,,,,,,,,
309,0.8,513.7,553.4,1120.0,1120.0,,,,,,,,,
309,0.9,614.6,654.3,1245.0,1245.0,,,,,,,,,
309,1.0,715.5,755.2,1340.0,1340.0,,,,,,,,,
408,0.0,-77.3,-77.3,-75.0,-75.0,,,,,,,,,
408,0.1,0.0,0.0,0.0,0.0,,,,,,,,,
408,0.3,77.3,82.1,75.0,75.0,,,,,,,,,
408,0.4,154.6,185.4,225.0,225.0,,,,,,,,,
408,0.5,247.1,288.7,420.0,420.0,,,,,,,,,
408,0.6,350.4,392.0,815.0,815.0,,,,,,,,,
408,0.8,453.7,495.3,1035.0,1035.0,,,,,,,,,
408,0.9,557.0,598.6,1165.0,1165.0,,,,,,,,,
408,1.0,660.3,701.9,1265.0,1265.0,,,,,,,,,
409,0.0,-71.2,-71.2,-50.0,-50.0,,,,,,,,,
409,0.1,0.0,0.0,0.0,0.0,,,,,,,,,
409,0.2,71.2,71.2,55.0,55.0,,,,,,,,,
409,0.3,142.5,159.1,105.0,105.0,,,,,,,,,
409,0.4,216.2,253.9,315.0,315.0,,,,,,,,,
409,0.6,311.0,348.7,825.0,825.0,,,,,,,,,
409,0.7,405.8,443.5,1010.0,1010.0,,,,,,,,,
409,0.8,500.6,538.3,1120.0,1120.0,,,,,,,,,
409,0.9,595.4,633.1,1200.0,1200.0,,,,,,,,,
409,1.0,690.2,727.9,1275.0,1275.0,,,,,,,,,
507,0,-50.8,-55.1,-40.0,-40.0,,,,,,,,,
507,0.14,0.0,0.0,0.0,0.0,,,,,,,,,
507,0.29,50.8,112.5,230.0,230.0,,,,,,,,,
507,0.43,130.5,225.0,415.0,415.0,,,,,,,,,
507,0.57,243.0,337.5,565.0,565.0,,,,,,,,,
507,0.71,355.5,449.9,845.0,845.0,,,,,,,,,
507,0.86,468.0,562.4,1105.0,1105.0,,,,,,,,,
507,1.00,580.5,674.9,1250.0,1250.0,,,,,,,,,
606,0,-77.7,-99.3,-175.0,-175.0,,,,,,,,,
606,0.17,0.0,0.0,0.0,0.0,,,,,,,,,
606,0.33,92.6,99.3,95.0,95.0,,,,,,,,,
606,0.50,191.9,198.6,195.0,195.0,,,,,,,,,
606,0.67,291.2,297.8,350.0,350.0,,,,,,,,,
606,0.83,390.5,397.1,630.0,630.0,,,,,,,,,
606,1.00,489.7,496.4,895.0,895.0,,,,,,,,,
