Date,Type_mesure,ThermalTime,TC57_moy,TC57_IC,P0(57.5°),PAI_vert,IC
2011-01-28,photo,273,0.152,0.01,0.85,0.1783,0.01
2011-02-01,photo,274,0.146,0.01,0.85,0.17,0.01
2011-02-07,photo,296,0.156,0.01,0.84,0.1833,0.02
2011-02-14,photo,344,0.228,0.02,0.77,0.275,0.03
2011-02-22,photo,383,0.268,0.02,0.73,0.335,0.03
2011-03-03,photo,435,0.332,0.02,0.67,0.434,0.03
2011-03-09,photo,458,0.359,0.01,0.64,0.4792,0.02
2011-03-16,photo,521,0.479,0.01,0.52,0.705,0.02
2011-03-28,photo,637,0.675,0.02,0.32,1.2169,0.07
2011-04-13,photo,841,0.843,0.01,0.16,1.9992,0.09
2011-04-19,photo,905,0.879,0.01,0.12,2.3111,0.13
2011-04-26,photo,1024,0.928,0.02,0.07,2.6867,0.18
2011-05-03,photo,1114,0.955,0.01,0.04,3.36,0.13
