Date,Type_mesure,TT,TC_moy,TC90_IC,P0(0°),TC57_moy,TC57_IC,P0(57.5°),PAIvert_moy,PAIvert_IC,LAI_tot,LAI_vert,PAI_tot,PAI_vert
2011-01-03,photo,154,0.0623,0.0024,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-13,photo,199,0.0629,0.0011,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-28,photo,273,0.0805,0.0009,0.92,0.152,0.01,0.85,0.1783,0.01,NA,NA,NA,NA
2011-02-01,photo,274,0.079,0.0011,0.92,0.146,0.01,0.85,0.17,0.01,NA,NA,NA,NA
2011-02-07,photo,296,0.099,0.0004,0.9,0.156,0.01,0.84,0.1833,0.02,NA,NA,NA,NA
2011-02-14,photo,344,0.1399,0.0009,0.86,0.228,0.02,0.77,0.275,0.03,NA,NA,NA,NA
2011-02-22,photo,383,0.1611,0.0012,0.84,0.268,0.02,0.73,0.335,0.03,NA,NA,NA,NA
2011-03-03,photo,435,0.2008,0.0024,0.8,0.332,0.02,0.67,0.434,0.03,NA,NA,NA,NA
2011-03-09,photo,458,0.2419,0.0028,0.76,0.359,0.01,0.64,0.4792,0.02,NA,NA,NA,NA
2011-03-16,photo,521,0.297,0.0032,0.7,0.479,0.01,0.52,0.705,0.02,NA,NA,NA,NA
2011-03-28,photo,637,0.3584,0.0097,0.64,0.675,0.02,0.32,1.2169,0.07,NA,NA,NA,NA
2011-04-13,photo,841,0.3787,0.0103,0.62,0.843,0.01,0.16,1.9992,0.09,NA,NA,NA,NA
2011-04-19,photo,905,0.3816,0.0157,0.62,0.879,0.01,0.12,2.3111,0.13,NA,NA,NA,NA
2011-04-26,photo,1024,0.3849,0.0103,0.62,0.928,0.02,0.07,2.6867,0.18,NA,NA,NA,NA
2011-05-03,photo,1114,0.4264,0.0114,0.57,0.955,0.01,0.04,3.36,0.13,NA,NA,NA,NA
2011-05-09,photo,1207,0.4782,0.0117,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-05-23,photo,1411,0.5625,0.0152,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-27,scan_prelv1,271,0.08,NA,0.92,0.17,NA,0.83,0.21,NA,0.115,0.107,0.137,0.113
2011-03-10,scan_prelv2,466,0.25,NA,0.75,0.37,NA,0.63,0.51,NA,0.375,0.346,0.43,0.373
2011-03-28,scan_prelv3,637,0.36,NA,0.64,0.68,NA,0.32,1.22,NA,0.841,0.765,0.943,0.814
2011-04-20,scan_prelv4,922,0.38,NA,0.62,0.89,NA,0.11,2.36,NA,1.883,1.651,2.404,1.733
2011-05-04,scan_prelv5,1125,0.43,NA,0.57,0.96,NA,0.04,3.44,NA,3.111,2.876,3.73,3.337
2011-05-24,scan_prelv6,1428,0.57,NA,0.43,1.05,NA,-0.05,5.7,NA,2.465,2.126,3.68,3.053
