id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
109,0,-120,-120,-116,-116
109,0.11111,0,0,0,0
109,0.22222,120,120,116,116
109,0.33333,230,230,282,282
109,0.44444,348,348,442,442
109,0.55556,448,448,648,648
109,0.66667,586,586,1074,3000
109,0.77778,692,692,1228,3000
109,0.88889,798,798,1326,3000
109,1,902,902,1402,3000
110,0,-104,-104,-124,-124
110,0.1,0,0,0,0
110,0.2,104,104,124,124
110,0.3,186,186,240,240
110,0.4,280,280,374,374
110,0.5,398,398,510,510
110,0.6,492,492,780,780
110,0.7,600,600,1098,3000
110,0.8,702,702,1244,3000
110,0.9,802,802,1342,3000
110,1,904,904,1418,3000
111,0,-94,-94,-104,-104
111,0.090909,0,0,0,0
111,0.18182,94,94,104,104
111,0.27273,152,152,208,208
111,0.36364,250,250,320,320
111,0.45455,356,356,452,452
111,0.54545,450,450,612,612
111,0.63636,552,552,992,992
111,0.72727,656,656,1192,3000
111,0.81818,742,742,1304,3000
111,0.90909,832,832,1388,3000
111,1,928,928,1454,3000
307,0,-96,-96,-200,-200
307,0.14286,0,0,0,0
307,0.28571,96,96,200,200
307,0.42857,194,194,514,514
307,0.57143,292,292,844,3000
307,0.71429,390,390,986,3000
307,0.85714,488,488,1080,3000
307,1,586,586,1154,3000
308,0,-84,-84,-110,-110
308,0.125,0,0,0,0
308,0.25,84,84,110,110
308,0.375,168,168,220,220
308,0.5,252,252,536,536
308,0.625,336,336,874,3000
308,0.75,418,418,1002,3000
308,0.875,502,502,1090,3000
308,1,588,588,1158,3000
406,0,-102,-102,-184,-184
406,0.16667,0,0,0,0
406,0.33333,102,102,184,184
406,0.5,202,202,568,3000
406,0.66667,304,304,822,3000
406,0.83333,406,406,958,3000
406,1,508,508,1054,3000
407,0,-84,-84,-96,-96
407,0.14286,0,0,0,0
407,0.28571,84,84,96,96
407,0.42857,168,168,194,194
407,0.57143,252,252,688,3000
407,0.71429,336,336,876,3000
407,0.85714,420,420,984,3000
407,1,506,506,1064,3000
506,0,-80,-80,-104,-104
506,0.16667,0,0,0,0
506,0.33333,80,80,104,104
506,0.5,162,162,614,3000
506,0.66667,242,242,796,3000
506,0.83333,324,324,902,3000
506,1,406,406,980,3000
507,0,-68,-68,-64,-64
507,0.14286,0,0,0,0
507,0.28571,68,68,64,64
507,0.42857,136,136,618,618
507,0.57143,202,202,782,3000
507,0.71429,270,270,874,3000
507,0.85714,338,338,942,3000
507,1,408,408,998,3000
605,0,-84,-84,-194,-194
605,0.2,0,0,0,0
605,0.4,84,84,194,3000
605,0.6,168,168,590,3000
605,0.8,252,252,808,3000
605,1,336,336,944,3000
606,0,-64,-64,-92,-92
606,0.16667,0,0,0,0
606,0.33333,64,64,92,92
606,0.5,128,128,644,3000
606,0.66667,192,192,810,3000
606,0.83333,256,256,910,3000
606,1,322,322,984,3000
705,0,-54,-54,-162,-162
705,0.2,0,0,0,0
705,0.4,54,54,162,3000
705,0.6,110,110,622,3000
705,0.8,166,166,828,3000
705,1,222,222,952,3000
706,0,-48,-48,-82,-82
706,0.16667,0,0,0,0
706,0.33333,48,48,82,82
706,0.5,96,96,674,3000
706,0.66667,144,144,824,3000
706,0.83333,190,190,916,3000
706,1,240,240,986,3000
