id_dim,index_rel_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
110,0.1,6.82,0.29373,3.0091,0.2,0,0
110,0.2,7.94,0.27761,3.2813,0.26592,0,0
110,0.3,10.54,0.37488,3.32,0.33185,0,0
110,0.4,11.34,0.51642,3.85,0.39777,0,0
110,0.5,12.89,0.65592,4.645,0.4637,0,0
110,0.6,15.4,0.81605,6.2727,0.52962,0,0
110,0.7,19.11,0.9544,9.8867,0.5845,2.4833,0.4345
110,0.8,23.61,1.1627,13.05,0.63438,5.5105,0.48438
110,0.9,28.69,1.4388,16.211,0.65064,8.7737,0.50064
110,1,24.67,1.7188,19.192,0.63144,17.033,0.48144
111,0.090909,5.5592,0.27595,2.62,0.2,0,0
111,0.18182,7.5656,0.27285,2.9,0.25494,0,0
111,0.27273,9.2816,0.34752,3.1286,0.30987,0,0
111,0.36364,8.5643,0.4754,3.7,0.36481,0,0
111,0.45455,11.828,0.60143,4.7,0.41975,0,0
111,0.54545,13.108,0.70401,5.0667,0.47468,0,0
111,0.63636,17.39,0.91901,8.5,0.52962,1,0.37962
111,0.72727,21.554,1.1148,11.483,0.5845,4.4889,0.4345
111,0.81818,25.282,1.2319,13.31,0.63438,6.7778,0.48438
111,0.90909,27.517,1.4332,15.64,0.65064,10.65,0.50064
111,1,20.012,1.5829,18.2,0.63144,17.5,0.48144
307,0.14286,7.0843,0.31061,2.8889,0.41544,0,0
307,0.28571,10.28,0.4123,3.7545,0.46253,0,0
307,0.42857,13.984,0.57497,5.1143,0.50265,0,0
307,0.57143,19.418,0.83451,8.1375,0.5755,2.55,0.4255
307,0.71429,23.796,1.0494,12.867,0.60846,5.6,0.45846
307,0.85714,26.893,1.2784,14.15,0.62217,12,0.47217
307,1,15.637,1.4761,17.5,0.61243,16,0.46243
308,0.125,6.7611,0.28907,2.6,0.36835,0,0
308,0.25,10.008,0.43155,3.7,0.41544,0,0
308,0.375,12.715,0.59019,4.825,0.46253,0,0
308,0.5,16.035,0.74836,7.525,0.50265,2.2,0.35265
308,0.625,20.452,0.91169,10.34,0.5755,4.3667,0.4255
308,0.75,23.844,1.077,12.36,0.60846,6.25,0.45846
308,0.875,27.098,1.3065,14.225,0.62217,9.675,0.47217
308,1,20.545,1.4775,16.9,0.61243,14.25,0.46243
407,0.14286,8.4979,0.35066,3.4348,0.41544,0,0
407,0.28571,11.816,0.53849,4.5217,0.46253,0,0
407,0.42857,15.159,0.70851,6.9867,0.50265,2.2333,0.35265
407,0.57143,19.656,0.90462,10.665,0.5755,3.2333,0.4255
407,0.71429,24.621,1.1652,12.836,0.60846,5.6357,0.45846
407,0.85714,28.024,1.4078,15.608,0.62217,9.375,0.47217
407,1,23.243,1.6852,19.383,0.61243,18.16,0.46243
