id_dim,index_rel_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode,,,,,,,,
111,0.091,8.829,0.443,2.534,0.214,0.000,0.000,,,,,,,,
111,0.182,8.125,0.510,2.202,0.247,0.000,0.000,,,,,,,,
111,0.273,6.900,0.544,2.181,0.281,0.000,0.000,,,,,,,,
111,0.364,6.300,0.522,2.704,0.315,0.000,0.000,,,,,,,,
111,0.455,7.750,0.574,3.875,0.348,0.000,0.000,,,,,,,,
111,0.545,8.600,0.593,5.673,0.382,0.000,0.000,,,,,,,,
111,0.636,12.200,0.836,7.947,0.415,0.000,0.000,,,,,,,,
111,0.727,18.100,1.233,10.250,0.449,5.000,0.086,,,,,,,,
111,0.818,20.600,1.401,12.250,0.483,8.600,0.148,,,,,,,,
111,0.909,23.300,1.583,13.250,0.516,12.800,0.220,,,,,,,,
111,1.000,19.100,1.765,15.250,0.516,18.600,0.320,,,,,,,,
112,0.083,8.829,0.443,2.441,0.217,0.000,0.000,,,,,,,,
112,0.167,8.125,0.510,2.359,0.253,0.000,0.000,,,,,,,,
112,0.250,5.750,0.502,2.256,0.290,0.000,0.000,,,,,,,,
112,0.333,5.750,0.502,2.738,0.327,0.000,0.000,,,,,,,,
112,0.417,6.900,0.544,3.220,0.363,0.000,0.000,,,,,,,,
112,0.500,7.850,0.543,3.684,0.400,0.000,0.000,,,,,,,,
112,0.583,10.350,0.711,6.537,0.437,0.000,0.000,,,,,,,,
112,0.667,16.200,1.105,10.000,0.473,0.000,0.000,,,,,,,,
112,0.750,18.200,1.240,11.000,0.510,5.000,0.086,,,,,,,,
112,0.833,21.100,1.435,12.500,0.547,8.600,0.148,,,,,,,,
112,0.917,22.650,1.539,14.000,0.583,12.800,0.220,,,,,,,,
112,1.000,17.350,1.643,14.500,0.583,18.600,0.320,,,,,,,,
309,0.111,3.800,0.320,2.441,0.248,0.000,0.000,,,,,,,,
309,0.222,5.250,0.448,2.750,0.271,0.000,0.000,,,,,,,,
309,0.333,7.100,0.465,3.464,0.294,0.000,0.000,,,,,,,,
309,0.444,8.500,0.493,4.429,0.318,0.000,0.000,,,,,,,,
309,0.556,12.500,0.645,9.188,0.341,0.000,0.000,,,,,,,,
309,0.667,17.700,1.003,11.000,0.364,5.000,0.086,,,,,,,,
309,0.778,21.200,1.346,12.000,0.387,8.600,0.148,,,,,,,,
309,0.889,22.400,1.482,14.000,0.411,12.800,0.220,,,,,,,,
309,1.000,18.850,1.618,15.500,0.411,18.600,0.320,,,,,,,,
408,0.125,4.825,0.276,2.702,0.250,0.000,0.000,,,,,,,,
408,0.250,6.800,0.397,3.306,0.268,0.000,0.000,,,,,,,,
408,0.375,7.800,0.458,5.537,0.286,0.000,0.000,,,,,,,,
408,0.500,12.600,0.752,7.769,0.304,0.000,0.000,,,,,,,,
408,0.625,17.200,1.034,10.000,0.322,5.000,0.086,,,,,,,,
408,0.750,20.350,1.227,12.000,0.341,8.600,0.148,,,,,,,,
408,0.875,23.100,1.395,13.000,0.359,12.800,0.220,,,,,,,,
408,1.000,18.900,1.564,15.250,0.359,18.600,0.320,,,,,,,,
409,0.111,4.325,0.245,2.800,0.253,0.000,0.000,,,,,,,,
409,0.222,5.750,0.333,3.003,0.273,0.000,0.000,,,,,,,,
409,0.333,6.850,0.400,4.641,0.293,0.000,0.000,,,,,,,,
409,0.444,9.100,0.538,6.819,0.313,0.000,0.000,,,,,,,,
409,0.556,14.550,0.872,8.935,0.334,0.000,0.000,,,,,,,,
409,0.667,17.600,1.059,10.500,0.354,5.000,0.086,,,,,,,,
409,0.778,21.250,1.282,12.000,0.374,8.600,0.148,,,,,,,,
409,0.889,23.100,1.395,12.500,0.395,12.800,0.220,,,,,,,,
409,1.000,17.075,1.509,14.500,0.395,18.600,0.320,,,,,,,,
507,0.143,6.500,0.305,3.488,0.248,0.000,0.000,,,,,,,,
507,0.286,7.700,0.372,4.452,0.264,0.000,0.000,,,,,,,,
507,0.429,11.900,0.606,7.996,0.280,0.000,0.000,,,,,,,,
507,0.571,16.950,0.887,10.000,0.295,5.000,0.086,,,,,,,,
507,0.714,21.450,1.138,12.500,0.311,8.600,0.148,,,,,,,,
507,0.857,25.200,1.347,13.500,0.327,12.800,0.220,,,,,,,,
507,1.000,20.650,1.555,15.500,0.327,18.600,0.320,,,,,,,,
606,0.167,8.600,0.339,3.488,0.246,0.000,0.000,,,,,,,,
606,0.333,12.200,0.582,5.890,0.259,0.000,0.000,,,,,,,,
606,0.500,18.100,0.825,8.293,0.273,5.000,0.086,,,,,,,,
606,0.667,20.600,1.069,10.695,0.286,8.600,0.148,,,,,,,,
606,0.833,23.300,1.312,13.097,0.300,12.800,0.220,,,,,,,,
606,1.000,19.100,1.555,15.500,0.300,18.600,0.320,,,,,,,,
