id_plt,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,MS,11,NA,NA,1111,1111,1,-60.47366859,98.06012619,516,916
1,T1,5,739.1334702,1781,1405,1405,NA,204.9902096,372.8910942,696,1096
1,T2,3,643.3925803,1616,1503,1503,NA,260.2436214,440.4470071,866,1266
1,T3,2,720.0968248,1796,1602,1602,NA,347.4484502,576.7705269,1031,1431
1,T1.0,2,720.0968248,1796,1602,1602,NA,347.4484502,576.7705269,1031,1431
2,MS,11,NA,NA,2111,2111,1,-59.9557216,97.1393018,521,921
2,T1,8,NA,NA,2408,2408,1,144.3430621,343.4017701,806,1206
2,T2,2,532.9346832,1246,2502,2502,NA,224.3607845,436.2400191,766,1166
2,T3,4,983.642933,2256,2604,2604,NA,293.3904731,557.1122466,1061,1461
2,T1.0,4,983.642933,2256,2604,2604,NA,293.3904731,557.1122466,1061,1461
2,T2.0,4,983.642933,2256,2604,2604,NA,293.3904731,557.1122466,1061,1461
3,MS,11,NA,NA,3111,3111,1,-65.69492678,90.71781545,571,971
3,T1,6,911.4895954,2256,3406,3406,NA,149.6217243,344.4229594,836,1236
3,T2,6,986.0255695,2256,3506,3506,NA,219.6904931,419.9364743,881,1281
3,T3,2,681.9426347,1815.759413,3602,3602,NA,348.3802226,553.6493993,931,1700.759413
4,MS,11,NA,NA,4111,4111,1,-67.7215994,88.05927317,551,951
4,T1,8,1031.480195,2256,4408,4408,NA,181.7118492,350.7064255,706,1106
4,T2,8,NA,NA,4508,4508,1,251.2140694,412.078266,806,1206
4,T3,6,1045.054746,2256,4606,4606,NA,352.7963812,532.3522698,981,1381
4,T4,1,763.0597066,1676,4701,4701,NA,471.4573555,763.0597066,1276,1676
4,T1.0,6,1045.054746,2256,4606,4606,NA,352.7963812,532.3522698,981,1381
4,T1.1,1,763.0597066,1676,4701,4701,NA,471.4573555,763.0597066,1276,1676
4,T2.0,1,763.0597066,1676,4701,4701,NA,471.4573555,763.0597066,1276,1676
5,MS,10,NA,NA,5110,5110,1,-66.83787261,105.6646032,581,981
5,T1,4,761.8799082,2071,5404,5404,NA,210.5268608,402.3018338,771,1171
5,T2,3,716.9871019,1581,5503,5503,NA,294.3857584,488.1209269,926,1326
6,MS,11,NA,NA,6111,6111,1,-62.78315767,96.84962549,541,941
6,T1,8,NA,NA,6408,6408,1,167.2953837,355.5225507,791,1191
