id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,11,11,583,883,1111,111,1,-68.58999933,89.92548646,506.6396509,803.6891595
1,4,T1,8,8,NA,NA,4081,408,1,166.4094313,363.0599033,776.5364816,1145.256117
1,5,T2,8,1.471080379,689,1289,5020,508,NA,518.7926886,644.8817301,914.7806762,1151.197629
1,6,T1.0,7,4.858412415,973,1573,6050,607,NA,250.7219744,460.3898403,979.67001,1372.797259
1,6,T3,7,4.850781298,972,1572,6050,607,NA,250.7219744,460.3898403,979.67001,1372.797259
2,1,MS,11,11,NA,NA,1111,111,1,-62.45617429,96.0593115,512.7734759,809.8229845
2,5,T2,7,1.35381492,695,1295,5020,507,NA,518.1717436,662.2735053,990.8423082,1261.033112
2,6,T3,7,4.492118803,925,1525,6050,607,NA,256.8557994,466.5236654,985.803835,1378.931084
3,1,MS,12,12,NA,NA,1121,112,1,-65.45506673,79.90247082,499.6428903,772.1882732
3,4,T1,9,9,NA,NA,4091,409,1,172.8373084,347.6377279,715.1724643,1042.923251
3,5,T2,9,1.42655541,673,1273,5020,509,NA,522.2805061,634.3596541,877.987691,1088.136094
3,6,T1.0,8,5.020473466,912,1512,6060,608,NA,258.784263,442.2436458,832.1174624,1176.103805
3,6,T3,8,5.01175219,911,1511,6060,608,NA,258.784263,442.2436458,832.1174624,1176.103805
3,7,T2.0,7,3.643316482,771,1371,7040,707,NA,371.3704672,555.2668836,1033.065642,1377.871422
4,1,MS,11,11,NA,NA,1111,111,1,-64.34358558,94.17190021,510.8860646,807.9355732
4,4,T1,8,8,NA,NA,4081,408,1,170.6558451,367.306317,780.7828954,1149.50253
4,5,T2,8,1.229980918,670,1270,5020,508,NA,523.0391024,649.1281439,919.02709,1155.444043
4,6,T3,7,4.644741141,945,1545,6050,607,NA,254.9683881,464.6362541,983.9164237,1377.043672
5,1,MS,10,10,NA,NA,1101,110,1,-75.37099263,99.05805244,512.3651864,839.4196459
5,4,T1,8,8,NA,NA,4081,408,1,165.6294282,362.2799001,775.7564785,1144.476113
5,5,T2,7,1.820152036,737,1337,5020,507,NA,511.2579154,655.3596771,983.9284801,1254.119283
5,6,T1.0,6,4.602597642,1040,1640,6050,606,NA,236.8377296,481.4502399,1242.829377,1701.477834
5,6,T3,6,4.596056685,1039,1639,6050,606,NA,236.8377296,481.4502399,1242.829377,1701.477834
6,1,MS,11,11,583,883,1111,111,1,-69.68771174,88.82777405,505.5419384,802.5914471
6,4,T1,8,8,NA,NA,4081,408,1,165.3117189,361.9621909,775.4387692,1144.158404
6,5,T2,8,1.585285387,698,1298,5020,508,NA,517.6949762,643.7840177,913.6829638,1150.099917
6,6,T3,7,4.942354701,984,1584,6050,607,NA,249.6242619,459.2921279,978.5722976,1371.699546
6,7,T1.1,6,2.505072428,785,1385,7030,706,NA,360.5451213,575.0909405,1242.511668,1644.785079
7,1,MS,11,11,NA,NA,1111,111,1,-52.53094958,105.9845362,522.6987006,819.7482092
7,4,T1,8,6.768168188,1079,1679,4070,408,NA,182.4684811,379.118953,792.5955314,1161.315166
7,5,T2,7,0.743135363,640,1240,5010,507,NA,528.0969683,672.19873,1000.767533,1270.958336
7,6,T1.0,7,3.812949397,836,1436,6040,607,NA,266.7810241,476.4488901,995.7290597,1388.856308
8,1,MS,11,11,NA,NA,1111,111,1,-54.81286711,103.7026187,520.4167831,817.4662917
8,4,T1,8,8,NA,NA,4081,408,1,180.1865635,376.8370355,790.3136139,1159.033249
8,5,T2,7,0.820858215,647,1247,5010,507,NA,525.8150507,669.9168125,998.4856154,1268.676419
8,6,T1.0,7,3.965571735,856,1456,6040,607,NA,264.4991066,474.1669726,993.4471422,1386.574391
9,1,MS,11,11,NA,NA,1111,111,1,-57.1081921,101.4072937,518.1214581,815.1709667
9,5,T2,8,0.658955877,625,1225,5010,508,NA,530.2744958,656.3635374,926.2624835,1162.679436
10,1,MS,11,11,583,883,1111,111,1,-57.20208563,101.3134002,518.0275645,815.0770732
10,4,T1,8,8,NA,NA,4081,408,1,177.797345,374.447817,787.9243953,1156.64403
10,5,T2,7,1.042923509,667,1267,5020,507,NA,523.4258322,667.527594,996.0963969,1266.2872
10,6,T1.0,7,4.141087424,879,1479,6050,607,NA,262.109888,471.777754,991.0579237,1384.185172
10,6,T3,7,4.141087424,879,1479,6050,607,NA,262.109888,471.777754,991.0579237,1384.185172
11,1,MS,11,11,NA,NA,1111,111,1,-72.0763461,86.43913969,503.1533041,800.2028127
11,4,T1,9,9,NA,NA,4091,409,1,171.1168542,345.9172737,713.45201,1041.202797
11,5,T2,8,1.71217984,708,1308,5020,508,NA,515.3063418,641.3953834,911.2943295,1147.711282
11,6,T1.0,7,5.033928104,996,1596,6060,607,NA,247.2356276,456.9034936,976.1836632,1369.310912
11,6,T3,7,5.026296987,995,1595,6060,607,NA,247.2356276,456.9034936,976.1836632,1369.310912
11,7,T4,7,2.818177898,773,1373,7030,707,NA,369.650013,553.5464294,1031.345187,1376.150968
12,1,MS,11,11,NA,NA,1111,111,1,-69.01803417,89.49745162,506.211616,803.2611247
12,4,T1,8,8,NA,NA,4081,408,1,165.9813965,362.6318684,776.1084468,1144.828082
12,5,T2,8,1.534527606,694,1294,5020,508,NA,518.3646538,644.4536953,914.3526414,1150.769594
12,6,T3,7,4.911830234,980,1580,6050,607,NA,250.2939395,459.9618055,979.2419751,1372.369224
13,1,MS,10,10,NA,NA,1101,110,1,-66.98367468,107.4453704,520.7525043,847.8069638
13,4,T1,7,7,NA,NA,4071,407,1,163.4818994,388.2252959,922.1300908,1343.523959
13,5,T2,6,1.560130316,737,1337,5020,506,NA,510.6388732,678.7575953,1201.093644,1516.316248
13,6,T1.0,6,4.439073708,1015,1615,6050,606,NA,245.2250475,489.8375579,1251.216695,1709.865152
13,6,T3,7,4.408176517,914,1514,6050,607,NA,258.3292892,467.9971551,987.2773248,1380.404574
13,7,T2.0,6,3.140726615,774,1374,7040,706,NA,369.2501486,583.7959677,1251.216695,1653.490106
14,1,MS,11,11,583,883,1111,111,1,-49.73833746,108.7771483,525.4913127,822.5408214
14,4,T1,8,6.62171545,1061,1661,4070,408,NA,185.2610932,381.9115651,795.3881435,1164.107778
14,5,T2,8,0.252893627,593,1193,5010,508,NA,537.6443505,663.733392,933.6323381,1170.049291
14,6,T1.0,7,3.660327058,816,1416,6040,607,NA,269.5736362,479.2415022,998.5216718,1391.648921
14,6,T3,7,3.652695941,815,1415,6040,607,NA,269.5736362,479.2415022,998.5216718,1391.648921
