id_plt,id_cohort,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,10,NaN,NaN,110,110,1,-3.3256,166.9,550,869.17
1,4,T1,7,NaN,NaN,307,307,1,348.67,507.42,800,1119.2
1,5,T2,8,NaN,NaN,408,408,1,436.67,556.01,950,1269.2
1,6,T3,7,NaN,NaN,507,507,1,556.67,667.84,1000,1319.2
1,6,T3,7,NaN,NaN,507,507,1,556.67,667.84,1000,1319.2
1,7,T4,6,1097,2000,606,606,NA,636.67,749.21,1000,1319.2
1,7,T4,6,1097,2000,606,606,NA,636.67,749.21,1000,1319.2
1,7,T4,6,1097,2000,606,606,NA,636.67,749.21,1000,1319.2
1,8,T5,5,973,2000,705,705,NA,736.67,843.27,1100,1419.2
1,8,T5,5,975,2000,705,705,NA,736.67,843.27,1100,1419.2
1,8,T5,5,973,2000,705,705,NA,736.67,843.27,1100,1419.2
1,8,T5,5,975,2000,705,705,NA,736.67,843.27,1100,1419.2
1,8,T5,5,973,2000,705,705,NA,736.67,843.27,1100,1419.2
1,9,T6,5,871,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,871,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,873,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,871,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,873,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,873,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,871,2000,805,805,NA,866.67,927.19,1200,1519.2
1,9,T6,5,873,2000,805,805,NA,866.67,927.19,1200,1519.2
2,1,MS,10,NaN,NaN,110,110,1,-15.656,154.57,550,869.17
2,4,T1,7,NaN,NaN,307,307,1,348.34,507.18,800,1119.2
2,5,T2,8,NaN,NaN,408,408,1,428.34,549.58,950,1269.2
2,6,T3,6,1075,2000,506,506,NA,524.34,668.09,1000,1319.2
2,6,T3,6,1075,2000,506,506,NA,524.34,668.09,1000,1319.2
2,7,T4,6,1095,2000,606,606,NA,636.34,748.99,1000,1319.2
2,7,T4,6,1095,2000,606,606,NA,636.34,748.99,1000,1319.2
2,7,T4,6,1095,2000,606,606,NA,636.34,748.99,1000,1319.2
2,8,T5,6,NaN,NaN,706,706,1,734.34,820.36,1100,1419.2
2,8,T5,6,NaN,NaN,706,706,1,734.34,820.36,1100,1419.2
2,8,T5,6,NaN,NaN,706,706,1,734.34,820.36,1100,1419.2
2,8,T5,6,NaN,NaN,706,706,1,734.34,820.36,1100,1419.2
2,8,T5,6,NaN,NaN,706,706,1,734.34,820.36,1100,1419.2
3,1,MS,10,NaN,NaN,110,110,1,2.2533,172.48,550,869.17
3,4,T1,7,NaN,NaN,307,307,1,368.25,521.78,800,1119.2
3,5,T2,8,NaN,NaN,408,408,1,440.25,558.77,950,1269.2
3,6,T3,7,NaN,NaN,507,507,1,542.25,657.27,1000,1319.2
3,6,T3,7,NaN,NaN,507,507,1,542.25,657.27,1000,1319.2
3,7,T4,6,NaN,NaN,606,606,1,654.25,761.17,1000,1319.2
3,7,T4,6,NaN,NaN,606,606,1,654.25,761.17,1000,1319.2
3,7,T4,6,NaN,NaN,606,606,1,654.25,761.17,1000,1319.2
3,9,T6,5,857,2000,805,805,NA,858.25,922.13,1100,1419.2
3,9,T6,5,857,2000,805,805,NA,858.25,922.13,1100,1419.2
3,9,T6,5,857,2000,805,805,NA,858.25,922.13,1100,1419.2
3,9,T6,5,857,2000,805,805,NA,858.25,922.13,1100,1419.2
3,9,T6,5,857,2000,805,805,NA,858.25,922.13,1100,1419.2
4,1,MS,10,NaN,NaN,110,110,1,3.8768,174.1,550,869.17
4,4,T1,7,NaN,NaN,307,307,1,357.88,514.17,800,1119.2
4,5,T2,8,NaN,NaN,408,408,1,447.88,564.65,950,1269.2
4,6,T3,7,NaN,NaN,507,507,1,541.88,656.99,1000,1319.2
4,6,T3,7,NaN,NaN,507,507,1,541.88,656.99,1000,1319.2
4,7,T4,6,NaN,NaN,606,606,1,653.88,760.91,1000,1319.2
4,7,T4,6,NaN,NaN,606,606,1,653.88,760.91,1000,1319.2
4,7,T4,6,NaN,NaN,606,606,1,653.88,760.91,1000,1319.2
4,8,T5,6,NaN,NaN,706,706,1,749.88,830.93,1100,1419.2
4,8,T5,6,NaN,NaN,706,706,1,749.88,830.93,1100,1419.2
4,8,T5,6,NaN,NaN,706,706,1,749.88,830.93,1100,1419.2
4,8,T5,6,NaN,NaN,706,706,1,749.88,830.93,1100,1419.2
4,8,T5,6,NaN,NaN,706,706,1,749.88,830.93,1100,1419.2
5,1,MS,10,NaN,NaN,110,110,1,-10.465,159.76,550,869.17
5,4,T1,7,NaN,NaN,307,307,1,351.54,509.52,800,1119.2
5,5,T2,7,NaN,NaN,407,407,1,441.54,579.46,950,1269.2
5,6,T3,7,NaN,NaN,507,507,1,547.54,661.14,1000,1319.2
5,6,T3,7,NaN,NaN,507,507,1,547.54,661.14,1000,1319.2
5,7,T4,6,NaN,NaN,606,606,1,643.54,753.88,1000,1319.2
5,7,T4,6,NaN,NaN,606,606,1,643.54,753.88,1000,1319.2
5,7,T4,6,NaN,NaN,606,606,1,643.54,753.88,1000,1319.2
5,8,T5,6,NaN,NaN,706,706,1,743.54,826.61,1100,1419.2
5,8,T5,6,NaN,NaN,706,706,1,743.54,826.61,1100,1419.2
5,8,T5,6,NaN,NaN,706,706,1,743.54,826.61,1100,1419.2
5,8,T5,6,NaN,NaN,706,706,1,743.54,826.61,1100,1419.2
5,8,T5,6,NaN,NaN,706,706,1,743.54,826.61,1100,1419.2
6,1,MS,10,NaN,NaN,110,110,1,12.909,183.13,550,869.17
6,4,T1,7,NaN,NaN,307,307,1,366.91,520.79,800,1119.2
6,5,T2,8,NaN,NaN,408,408,1,456.91,571.62,950,1269.2
6,6,T3,6,1083,2000,506,506,NA,552.91,687.52,1000,1319.2
6,6,T3,6,1083,2000,506,506,NA,552.91,687.52,1000,1319.2
6,7,T4,6,NaN,NaN,606,606,1,656.91,762.97,1000,1319.2
6,7,T4,6,NaN,NaN,606,606,1,656.91,762.97,1000,1319.2
6,7,T4,6,NaN,NaN,606,606,1,656.91,762.97,1000,1319.2
6,8,T5,5,899,2000,705,705,NA,758.91,856.61,1100,1419.2
6,8,T5,5,899,2000,705,705,NA,758.91,856.61,1100,1419.2
6,8,T5,5,897,2000,705,705,NA,758.91,856.61,1100,1419.2
6,8,T5,5,897,2000,705,705,NA,758.91,856.61,1100,1419.2
6,8,T5,5,899,2000,705,705,NA,758.91,856.61,1100,1419.2
7,1,MS,10,NaN,NaN,110,110,1,12.892,183.12,550,869.17
7,4,T1,8,NaN,NaN,308,308,1,370.89,501.88,800,1119.2
7,5,T2,8,NaN,NaN,408,408,1,454.89,570.06,950,1269.2
7,6,T3,7,NaN,NaN,507,507,1,572.89,679.74,1000,1319.2
7,6,T3,7,NaN,NaN,507,507,1,572.89,679.74,1000,1319.2
7,7,T4,6,NaN,NaN,606,606,1,656.89,762.96,1000,1319.2
7,7,T4,6,NaN,NaN,606,606,1,656.89,762.96,1000,1319.2
7,7,T4,6,NaN,NaN,606,606,1,656.89,762.96,1000,1319.2
7,8,T5,6,NaN,NaN,706,706,1,766.89,842.5,1100,1419.2
7,8,T5,6,NaN,NaN,706,706,1,766.89,842.5,1100,1419.2
7,8,T5,6,NaN,NaN,706,706,1,766.89,842.5,1100,1419.2
7,8,T5,6,NaN,NaN,706,706,1,766.89,842.5,1100,1419.2
7,8,T5,6,NaN,NaN,706,706,1,766.89,842.5,1100,1419.2
8,1,MS,10,NaN,NaN,110,110,1,0.62367,170.85,550,869.17
8,5,T2,7,NaN,NaN,407,407,1,442.62,580.26,800,1119.2
8,6,T3,7,NaN,NaN,507,507,1,550.62,663.41,950,1269.2
8,7,T4,6,NaN,NaN,606,606,1,644.62,754.62,1000,1319.2
8,7,T4,6,NaN,NaN,606,606,1,644.62,754.62,1000,1319.2
9,1,MS,10,NaN,NaN,110,110,1,4.2729,174.5,550,869.17
9,4,T1,7,NaN,NaN,307,307,1,360.27,515.93,800,1119.2
9,5,T2,8,NaN,NaN,408,408,1,454.27,569.59,950,1269.2
9,6,T3,6,1091,2000,506,506,NA,566.27,696.61,1000,1319.2
9,6,T3,6,1091,2000,506,506,NA,566.27,696.61,1000,1319.2
9,7,T4,6,NaN,NaN,606,606,1,656.27,762.54,1000,1319.2
9,7,T4,6,NaN,NaN,606,606,1,656.27,762.54,1000,1319.2
9,7,T4,6,NaN,NaN,606,606,1,656.27,762.54,1000,1319.2
9,8,T5,6,NaN,NaN,706,706,1,760.27,838,1100,1419.2
9,8,T5,6,NaN,NaN,706,706,1,760.27,838,1100,1419.2
9,8,T5,6,NaN,NaN,706,706,1,760.27,838,1100,1419.2
9,8,T5,6,NaN,NaN,706,706,1,760.27,838,1100,1419.2
9,8,T5,6,NaN,NaN,706,706,1,760.27,838,1100,1419.2
10,1,MS,10,NaN,NaN,110,110,1,2.7464,172.97,550,869.17
10,4,T1,8,NaN,NaN,308,308,1,360.75,494.05,800,1119.2
10,5,T2,7,NaN,NaN,407,407,1,450.75,586.22,950,1269.2
10,6,T3,7,NaN,NaN,507,507,1,542.75,657.63,1000,1319.2
10,6,T3,7,NaN,NaN,507,507,1,542.75,657.63,1000,1319.2
10,7,T4,6,NaN,NaN,606,606,1,644.75,754.7,1000,1319.2
10,7,T4,6,NaN,NaN,606,606,1,644.75,754.7,1000,1319.2
10,7,T4,6,NaN,NaN,606,606,1,644.75,754.7,1000,1319.2
10,8,T5,5,903,2000,705,705,NA,754.75,854.11,1100,1419.2
10,8,T5,5,901,2000,705,705,NA,754.75,854.11,1100,1419.2
10,8,T5,5,901,2000,705,705,NA,754.75,854.11,1100,1419.2
10,8,T5,5,903,2000,705,705,NA,754.75,854.11,1100,1419.2
10,8,T5,5,901,2000,705,705,NA,754.75,854.11,1100,1419.2
11,1,MS,10,NaN,NaN,110,110,1,-0.86709,169.36,550,869.17
11,4,T1,7,NaN,NaN,307,307,1,353.13,510.69,800,1119.2
11,5,T2,7,NaN,NaN,407,407,1,451.13,586.5,950,1269.2
11,6,T3,6,1077,2000,506,506,NA,535.13,675.43,1000,1319.2
11,6,T3,6,1077,2000,506,506,NA,535.13,675.43,1000,1319.2
11,8,T5,5,897,2000,705,705,NA,759.13,856.74,1000,1319.2
11,8,T5,5,895,2000,705,705,NA,759.13,856.74,1000,1319.2
11,8,T5,5,897,2000,705,705,NA,759.13,856.74,1000,1319.2
12,1,MS,10,NaN,NaN,110,110,1,8.2579,178.48,550,869.17
12,4,T1,7,NaN,NaN,307,307,1,364.26,518.85,800,1119.2
12,5,T2,7,NaN,NaN,407,407,1,458.26,591.73,950,1269.2
12,6,T3,6,1085,2000,506,506,NA,554.26,688.44,1000,1319.2
12,6,T3,6,1085,2000,506,506,NA,554.26,688.44,1000,1319.2
12,7,T4,6,NaN,NaN,606,606,1,654.26,761.17,1000,1319.2
12,7,T4,6,NaN,NaN,606,606,1,654.26,761.17,1000,1319.2
12,7,T4,6,NaN,NaN,606,606,1,654.26,761.17,1000,1319.2
12,8,T5,6,NaN,NaN,706,706,1,750.26,831.19,1100,1419.2
