id_plt,id_cohort,id_axis,N_phytomer_potential,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,11,11,11.0,NA,NA,1111,1111,1.0,-25.4701984416,74.5298015584,538.370738476,838.370738476
1,4,T1,8,8,8.0,NA,NA,4081,4081,1.0,216.850944467,329.197319467,727.026994755,1064.06611976
1,5,T2,7,7,6.01681911059,1023.0,1623.0,5070,5070,NA,290.466617681,407.433903395,871.370026124,1222.27188327
1,6,T1.0,7,4,3.22887200499,770.0,1370.0,6040,6040,NA,398.492464571,504.031178857,953.412475041,1270.0286179
1,6,T3,7,5,4.58382502832,913.0,1513.0,6050,6050,NA,398.492464571,504.031178857,953.412475041,1270.0286179
1,7,T2.0,6,2,1.53414518163,710.0,1310.0,7020,7020,NA,523.164069526,627.959236193,-5.76460752303e+17,-5.76460752303e+17
2,1,MS,11,11,11.0,NA,NA,1111,1111,1.0,-23.9702805239,76.0297194761,539.870656394,839.870656394
2,4,T1,8,8,8.0,NA,NA,4081,4081,1.0,235.963974642,348.310349642,746.14002493,1083.17914993
2,5,T2,8,8,8.0,NA,NA,5081,5081,1.0,288.450426834,393.296801834,756.528789316,1071.06791432
2,6,T1.0,7,4,3.42785112031,791.0,1391.0,6040,6040,NA,400.262961022,505.801675308,955.182971492,1271.79911435
2,6,T3,7,5,4.31851954124,885.0,1485.0,6050,6050,NA,400.262961022,505.801675308,955.182971492,1271.79911435
3,1,MS,11,11,11.0,NA,NA,1111,1111,1.0,-18.6821202674,81.3178797326,545.15881665,845.15881665
3,4,T1,8,8,8.0,NA,NA,4081,4081,1.0,228.071741262,340.418116262,738.24779155,1075.28691655
3,5,T2,8,8,8.0,NA,NA,5081,5081,1.0,298.246100429,403.092475429,766.324462911,1080.86358791
3,6,T1.0,8,4,3.1605952257,729.0,1329.0,6040,6040,NA,417.950148267,512.796523267,891.471756765,1176.01088176
3,6,T3,7,5,4.87755610331,944.0,1544.0,6050,6050,NA,414.247915604,519.786629889,969.167926074,1285.78406893
4,1,MS,11,11,11.0,NA,NA,1111,1111,1.0,-12.4190755681,87.5809244319,551.42186135,851.42186135
4,4,T1,8,8,7.483739462,1090.0,1690.0,4080,4080,NA,216.861115951,329.207490951,727.037166239,1064.07629124
4,6,T1.0,7,4,3.63630543159,813.0,1413.0,6040,6040,NA,402.102150645,507.640864931,957.022161115,1273.63830397
4,6,T3,7,6,5.20918796217,979.0,1579.0,6060,6060,NA,402.102150645,507.640864931,957.022161115,1273.63830397
5,1,MS,11,11,11.0,NA,NA,1111,1111,1.0,-8.93992758235,91.0600724177,554.901009335,854.901009335
5,4,T1,8,6,5.43649939751,860.0,1460.0,4060,4060,NA,237.008061469,349.354436469,747.184111756,1084.22323676
5,5,T2,7,5,4.41808149043,836.0,1436.0,5050,5050,NA,289.796975723,406.764261437,870.700384167,1221.60224131
5,6,T1.0,7,3,2.4708563276,690.0,1290.0,6030,6030,NA,411.388808211,516.927522497,966.308818681,1282.92496154
5,6,T3,7,4,3.02989288968,749.0,1349.0,6040,6040,NA,411.388808211,516.927522497,966.308818681,1282.92496154
