id_axis,id_cohort,cardinality,N_phytomer_potential,a_cohort,TT_hs_0,TT_hs_break,TT_flag_ligulation,dTT_MS_cohort,n0,n1,n2,t0,t1,hs_t1,a,c,RMSE_gl
MS,1,186,11,0.01,-0.7709999999999999,NA,1078.0,0.0,4.872,3.2430000000000003,5.8,486.429,634.150982690416,6.349219826904159,-4.72197416589414e-09,-0.004717325242235318,0.40298814474090044
MS,1,28,10,0.00948972784409516,-0.7709999999999999,NA,1053.0,-25.0,4.429090909090909,2.9481818181818187,5.2727272727272725,465.95375563636355,609.150982690416,5.787993621862966,-4.292703787176491e-09,-0.004288477492941199,0.40298814474090044
MS,1,6,12,0.010871820332297189,-0.7709999999999999,NA,1103.0,25.0,5.314909090909091,3.537818181818182,6.327272727272727,488.09921018181814,659.150982690416,7.174553229143537,-5.15124454461179e-09,-0.0051461729915294385,0.40298814474090044
T1,4,148,8,0.008901043758643748,249.229,NA,1148.0,70.0,3.2430000000000003,3.2430000000000003,4.93,613.5682941250001,704.150982690416,4.049280474696365,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1,4,30,9,0.009742674320800285,249.229,NA,1173.0,95.0,3.2430000000000003,3.2430000000000003,4.93,582.0944836666667,729.150982690416,4.675723576745474,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1,4,16,7,0.008011252376194678,249.229,NA,1123.0,45.0,3.2430000000000003,3.2430000000000003,4.93,654.034621857143,679.150982690416,3.4442135054069216,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1.0,6,130,7,0.00987625058022972,459.2289999999999,NA,1168.0,90.0,2.6164358852618292,3.2430000000000003,4.93,724.150982690416,724.150982690416,2.6164358852618292,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1.0,6,17,6,0.008774867609184946,459.2289999999999,NA,1143.0,65.0,2.105283634641563,3.2430000000000003,4.93,699.150982690416,699.150982690416,2.105283634641563,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1.0,6,10,8,0.010902584048701841,459.2289999999999,NA,1193.0,115.0,3.160898783848541,3.2430000000000003,4.93,749.150982690416,749.150982690416,3.160898783848541,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1.1,7,10,6,0.010020525376145471,579.229,NA,1178.0,100.0,1.552399658872082,3.2430000000000003,4.93,734.150982690416,734.150982690416,1.552399658872082,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1.1,7,3,7,0.011222067072691742,579.229,NA,1203.0,125.0,2.0190965576035302,3.2430000000000003,4.93,759.150982690416,759.150982690416,2.0190965576035302,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T1.1,7,1,8,0.012331007397063063,579.229,NA,1228.0,150.0,2.5268944843763474,3.2430000000000003,4.93,784.150982690416,784.150982690416,2.5268944843763474,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2,5,100,8,0.009770741758073992,339.229,NA,1158.0,80.0,3.2430000000000003,3.2430000000000003,4.93,671.138294125,714.150982690416,3.6632658722931417,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2,5,95,7,0.008818664325101321,339.229,NA,1133.0,55.0,3.0858445053206935,3.2430000000000003,4.93,689.150982690416,689.150982690416,3.0858445053206935,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2,5,12,6,0.0078046648481797576,339.229,NA,1108.0,30.0,2.5359071767047614,3.2430000000000003,4.93,664.150982690416,664.150982690416,2.5359071767047614,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2,5,3,9,0.01066640119179256,339.229,NA,1183.0,105.0,3.2430000000000003,3.2430000000000003,4.93,643.267817,739.150982690416,4.2657283127930965,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2.0,7,10,6,0.010020525376145471,579.229,NA,1178.0,100.0,1.552399658872082,3.2430000000000003,4.93,734.150982690416,734.150982690416,1.552399658872082,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2.0,7,5,7,0.011222067072691742,579.229,NA,1203.0,125.0,2.0190965576035302,3.2430000000000003,4.93,759.150982690416,759.150982690416,2.0190965576035302,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T2.0,7,2,8,0.012331007397063063,579.229,NA,1228.0,150.0,2.5268944843763474,3.2430000000000003,4.93,784.150982690416,784.150982690416,2.5268944843763474,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T3,6,144,7,0.00987625058022972,459.2289999999999,NA,1168.0,90.0,2.6164358852618292,3.2430000000000003,4.93,724.150982690416,724.150982690416,2.6164358852618292,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T3,6,22,6,0.008774867609184946,459.2289999999999,NA,1143.0,65.0,2.105283634641563,3.2430000000000003,4.93,699.150982690416,699.150982690416,2.105283634641563,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T3,6,11,8,0.010902584048701841,459.2289999999999,NA,1193.0,115.0,3.160898783848541,3.2430000000000003,4.93,749.150982690416,749.150982690416,3.160898783848541,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T4,7,14,6,0.010020525376145471,579.229,NA,1178.0,100.0,1.552399658872082,3.2430000000000003,4.93,734.150982690416,734.150982690416,1.552399658872082,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T4,7,11,7,0.011222067072691742,579.229,NA,1203.0,125.0,2.0190965576035302,3.2430000000000003,4.93,759.150982690416,759.150982690416,2.0190965576035302,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
T4,7,1,5,0.008714277995925205,579.229,NA,1153.0,75.0,1.1321762749460667,3.2430000000000003,4.93,709.150982690416,709.150982690416,1.1321762749460667,-4.013678041010019e-09,-0.004009726455900021,0.40298814474090044
