N_cohort,Nff,a_cohort,TT_col_0,TT_col_nff,n0,n1,n2
1,11,0.0102,-0.771289027,1078,4.871559739,3.24283148,5.8
1,10,0.0094853128,-0.771289027,1053.4901960784,4.4286906718,2.9480286182,5.2727272727
1,12,0.0108766479,-0.771289027,1102.5098039216,5.3144288062,3.5376343418,6.3272727273
4,8,0.0088701754,246.1012599926,1148,3.24283148,3.24283148,4.93
4,9,0.0097149363,246.1012599926,1172.5098039216,3.24283148,3.24283148,4.93
4,7,0.0079782178,246.1012599926,1123.4901960784,3.24283148,3.24283148,4.93
4,10,0.01051615,246.1012599926,1197.0196078431,3.24283148,3.24283148,4.93
5,7,0.0084994261,334.4149854828,1158,3.1215883222,3.24283148,4.93
5,8,0.0094329075,334.4149854828,1182.5098039216,3.24283148,3.24283148,4.93
5,6,0.0075086799,334.4149854828,1133.4901960784,2.5736802148,3.24283148,4.93
5,9,0.0103139495,334.4149854828,1207.0196078431,3.24283148,3.24283148,4.93
6,7,0.0096959924,446.0522403848,1168,2.5755777403,3.24283148,4.93
6,6,0.0086029158,446.0522403848,1143.4901960784,2.0743644913,3.24283148,4.93
6,8,0.0107172871,446.0522403848,1192.5098039216,3.1095461413,3.24283148,4.93
7,6,0.0098490977,568.8071423456,1178,1.5057135527,3.24283148,4.93
7,7,0.01104619,568.8071423456,1202.5098039216,1.9594629601,3.24283148,4.93
7,5,0.0085516417,568.8071423456,1153.4901960784,1.09776159,3.24283148,4.93
7,8,0.0121541302,568.8071423456,1227.0196078431,2.4538937451,3.24283148,4.93
