N° prlv,date de prelevement,TT,bloc,id_axis,LAI_total,LAI_green,PAI_tot,PAI_vert
1,27/01/2011,271,1,MS,0.131,0.130,0.17,0.16
2,10/03/2011,466,1,MS,0.287,0.265,0.34,0.32
3,28/03/2011,637,1,MS,0.408,0.328,0.46,0.38
4,20/04/2011,922,1,MS,1.057,0.943,#VALEUR!,#VALEUR!
5,04/05/2011,1125,1,MS,1.815,1.713,2.47,2.28
6,23/05/2011,1428,1,MS,1.334,1.212,2.40,2.15
1,27/01/2011,271,2,MS,0.115,0.115,0.14,0.14
2,10/03/2011,466,2,MS,0.283,0.267,0.34,0.32
3,28/03/2011,637,2,MS,0.584,0.474,0.67,0.56
4,20/04/2011,922,2,MS,1.654,1.466,2.04,1.85
5,04/05/2011,1125,2,MS,2.219,2.081,3.03,2.77
6,23/05/2011,1428,2,MS,1.468,1.284,2.74,2.32
1,27/01/2011,271,3,MS,0.114,0.114,0.16,0.16
2,10/03/2011,466,3,MS,0.248,0.237,0.30,0.29
3,28/03/2011,637,3,MS,0.425,0.370,0.50,0.45
4,20/04/2011,922,3,MS,1.003,0.849,1.20,1.05
5,04/05/2011,1125,3,MS,1.845,1.738,2.50,2.27
6,23/05/2011,1428,3,MS,1.717,1.495,3.05,2.66
1,27/01/2011,271,4,MS,0.104,0.106,0.13,0.13
2,10/03/2011,466,4,MS,0.253,0.243,0.30,0.30
3,28/03/2011,637,4,MS,0.497,0.417,0.58,0.50
4,20/04/2011,922,4,MS,1.120,0.975,1.38,1.24
5,04/05/2011,1125,4,MS,1.943,1.831,2.67,2.42
6,23/05/2011,1428,4,MS,1.620,1.445,2.75,2.43
2,10/03/2011,466,1,T1,0.052,0.054,0.07,0.07
3,28/03/2011,637,1,T1,0.158,0.152,0.19,0.18
4,20/04/2011,922,1,T1,0.262,0.226,#VALEUR!,#VALEUR!
5,04/05/2011,1125,1,T1,0.491,0.455,0.52,0.54
6,23/05/2011,1428,1,T1,0.543,0.455,0.91,0.69
2,10/03/2011,466,2,T1,0.069,0.072,0.09,0.09
3,28/03/2011,637,2,T1,0.173,0.168,0.20,0.20
4,20/04/2011,922,2,T1,0.354,0.335,0.43,0.41
5,04/05/2011,1125,2,T1,0.449,0.391,0.52,0.42
6,23/05/2011,1428,2,T1,0.199,0.143,0.33,0.21
2,10/03/2011,466,3,T1,0.049,0.052,0.06,0.06
3,28/03/2011,637,3,T1,0.173,0.170,0.21,0.21
4,20/04/2011,922,3,T1,0.236,0.183,0.27,0.22
5,04/05/2011,1125,3,T1,0.411,0.375,0.52,0.45
6,23/05/2011,1428,3,T1,0.372,0.304,0.66,0.45
2,10/03/2011,466,4,T1,0.068,0.071,0.08,0.09
3,28/03/2011,637,4,T1,0.152,0.148,0.18,0.18
4,20/04/2011,922,4,T1,0.376,0.328,0.45,0.40
5,04/05/2011,1125,4,T1,0.544,0.484,0.66,0.55
6,23/05/2011,1428,4,T1,0.255,0.209,0.47,0.32
2,10/03/2011,466,1,T2,0.033,0.035,0.05,0.05
3,28/03/2011,637,1,T2,0.181,0.178,0.21,0.21
4,20/04/2011,922,1,T2,0.256,0.220,#VALEUR!,#VALEUR!
5,04/05/2011,1125,1,T2,0.346,0.311,0.43,0.37
6,23/05/2011,1428,1,T2,0.667,0.569,1.12,0.93
2,10/03/2011,466,2,T2,0.037,0.039,0.06,0.06
3,28/03/2011,637,2,T2,0.217,0.210,0.26,0.25
4,20/04/2011,922,2,T2,0.650,0.589,0.76,0.70
5,04/05/2011,1125,2,T2,0.782,0.713,0.92,0.80
6,23/05/2011,1428,2,T2,0.579,0.503,0.91,0.74
2,10/03/2011,466,3,T2,0.043,0.046,0.06,0.06
3,28/03/2011,637,3,T2,0.170,0.167,0.20,0.20
4,20/04/2011,922,3,T2,0.247,0.210,0.30,0.26
5,04/05/2011,1125,3,T2,0.663,0.602,0.80,0.69
6,23/05/2011,1428,3,T2,0.626,0.551,1.12,0.96
2,10/03/2011,466,4,T2,0.057,0.061,0.07,0.08
3,28/03/2011,637,4,T2,0.166,0.162,0.20,0.20
4,20/04/2011,922,4,T2,0.478,0.412,0.56,0.49
5,04/05/2011,1125,4,T2,0.532,0.478,0.65,0.55
6,23/05/2011,1428,4,T2,0.196,0.151,0.36,0.23
2,10/03/2011,466,1,T3,0.000,0.000,0.00,0.00
3,28/03/2011,637,1,T3,0.041,0.041,0.05,0.05
4,20/04/2011,922,1,T3,0.067,0.061,#VALEUR!,#VALEUR!
5,04/05/2011,1125,1,T3,0.172,0.155,0.22,0.18
6,23/05/2011,1428,1,T3,0.036,0.017,0.10,0.03
2,10/03/2011,466,2,T3,0.000,0.000,0.00,0.00
3,28/03/2011,637,2,T3,0.049,0.048,0.06,0.06
4,20/04/2011,922,2,T3,0.124,0.118,0.17,0.16
5,04/05/2011,1125,2,T3,0.132,0.119,0.16,0.13
6,23/05/2011,1428,2,T3,0.099,0.068,0.19,0.10
2,10/03/2011,466,3,T3,0.001,0.001,0.01,0.01
3,28/03/2011,637,3,T3,0.064,0.063,0.08,0.08
4,20/04/2011,922,3,T3,0.009,0.008,0.01,0.01
5,04/05/2011,1125,3,T3,0.093,0.080,0.11,0.09
6,23/05/2011,1428,3,T3,0.185,0.148,0.33,0.20
2,10/03/2011,466,4,T3,0.001,0.001,0.01,0.01
3,28/03/2011,637,4,T3,0.027,0.027,0.04,0.04
4,20/04/2011,922,4,T3,0.133,0.125,0.16,0.15
5,04/05/2011,1125,4,T3,0.152,0.138,0.19,0.15
6,23/05/2011,1428,4,T3,0.014,0.002,0.07,0.01
2,10/03/2011,466,1,TS,0.000,0.000,0.00,0.00
3,28/03/2011,637,1,TS,0.007,0.007,0.01,0.01
4,20/04/2011,922,1,TS,0.002,0.002,#VALEUR!,#VALEUR!
5,04/05/2011,1125,1,TS,0.061,0.049,0.08,0.06
6,23/05/2011,1428,1,TS,0.003,0.000,0.02,0.00
2,10/03/2011,466,2,TS,0.000,0.000,0.00,0.00
3,28/03/2011,637,2,TS,0.000,0.000,0.00,0.00
4,20/04/2011,922,2,TS,0.009,0.006,0.02,0.01
5,04/05/2011,1125,2,TS,0.022,0.015,0.03,0.02
6,23/05/2011,1428,2,TS,0.001,0.000,0.03,0.00
2,10/03/2011,466,3,TS,0.000,0.000,0.00,0.00
3,28/03/2011,637,3,TS,0.006,0.006,0.01,0.01
4,20/04/2011,922,3,TS,0.000,0.000,0.00,0.00
5,04/05/2011,1125,3,TS,0.030,0.020,0.04,0.02
6,23/05/2011,1428,3,TS,0.006,0.002,0.01,0.00
2,10/03/2011,466,4,TS,0.000,0.000,0.00,0.00
3,28/03/2011,637,4,TS,0.000,0.000,0.00,0.00
4,20/04/2011,922,4,TS,0.013,0.011,0.01,0.01
5,04/05/2011,1125,4,TS,0.008,0.006,0.01,0.01
6,23/05/2011,1428,4,TS,0.000,0.000,0.00,0.00
