id_phen,index_phytomer,TT_em_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer
111.0,0.0,-157.634034125,-0.771289027,476.832606953,770.950254012
111.0,1.0,-59.5948184388,97.298606993,523.544180789,817.661827848
111.0,2.0,38.4565234126,195.368746294,570.18422622,864.301873279
111.0,3.0,136.526662713,293.438885594,616.82427165,910.941918709
111.0,4.0,234.596802014,391.509024895,816.722811112,1110.84045817
111.0,5.0,332.666941315,489.579164196,1034.45380185,1328.57144891
111.0,6.0,430.737080615,587.649303497,1248.22441283,1542.34205989
111.0,7.0,528.807219916,685.719442797,1432.89334866,3000.0
111.0,8.0,626.877359217,783.789582098,1581.46155957,3000.0
111.0,9.0,724.947498517,881.859721399,1702.44914414,3000.0
111.0,10.0,823.017637818,979.929860699,1803.98263494,3000.0
111.0,11.0,921.087777119,1078.0,1891.54928065,3000.0
110.0,0.0,-169.453126644,-0.771289027,466.128511447,782.406956979
110.0,1.0,-64.0269781333,104.654859484,514.242422363,830.520867895
110.0,2.0,41.3991703772,210.081007994,562.356333279,878.63477881
110.0,3.0,146.825318888,315.507156505,660.105994975,976.384440507
110.0,4.0,252.251467398,420.933305015,887.854742982,1204.13318851
110.0,5.0,357.677615909,526.359453526,1118.64051143,1434.91895696
110.0,6.0,463.103764419,631.785602036,1339.1104271,3000.0
110.0,7.0,568.52991293,737.211750547,1515.71484974,3000.0
110.0,8.0,673.95606144,842.637899057,1655.5175374,3000.0
110.0,9.0,779.382209951,948.064047568,1770.02069276,3000.0
110.0,10.0,884.808358462,1053.49019608,1867.03947673,3000.0
112.0,0.0,-147.875434753,-0.771289027,487.837779446,763.658052684
112.0,1.0,-55.9353436744,91.168802052,533.093209615,808.913482852
112.0,2.0,36.0047474046,183.108893131,578.348639783,854.16891302
112.0,3.0,127.944838484,275.04898421,623.604069951,899.424343188
112.0,4.0,219.884929563,366.989075289,751.335303346,1027.15557658
112.0,5.0,311.825020642,458.929166368,961.276580864,1237.0968541
112.0,6.0,403.765111721,550.869257447,1167.66011928,1443.48039251
112.0,7.0,495.7052028,642.809348526,1354.31159798,1630.13187121
112.0,8.0,587.645293879,734.749439605,1510.59011381,3000.0
112.0,9.0,679.585384958,826.689530684,1638.43927495,3000.0
112.0,10.0,771.525476037,918.629621763,1745.05404876,3000.0
112.0,11.0,863.465567116,1010.56971284,1836.26352837,3000.0
112.0,12.0,955.405658195,1102.50980392,1916.05908457,3000.0
408.0,0.0,65.7215124818,246.101260401,611.689462454,949.901489242
408.0,1.0,178.458854932,358.838602851,747.829473494,1086.04150028
408.0,2.0,291.196197381,471.575945301,941.148568425,1279.36059521
408.0,3.0,403.933539831,584.313287751,1134.46766335,1472.67969014
408.0,4.0,516.670882281,697.050630201,1376.47282018,1714.68484697
408.0,5.0,629.408224731,809.787972651,1576.85882985,1915.07085664
408.0,6.0,742.145567181,922.5253151,1732.32783898,2070.53986577
408.0,7.0,854.88290963,1035.26265755,1857.20645878,3000.0
408.0,8.0,967.62025208,1148.0,1961.54928065,3000.0
409.0,0.0,81.406407739,246.101259993,579.89979217,888.702640146
409.0,1.0,184.340690398,349.035542652,682.834074829,991.636922805
409.0,2.0,287.274973056,451.96982531,828.516310353,1137.31915833
409.0,3.0,390.209255715,554.904107969,994.696742028,1303.49959
409.0,4.0,493.143538374,657.838390628,1160.8771737,1469.68002168
409.0,5.0,596.077821033,760.772673287,1400.9826241,1709.78547208
409.0,6.0,699.012103691,863.706955945,1601.36863377,1910.17148175
409.0,7.0,801.94638635,966.641238604,1756.8376429,2065.64049088
409.0,8.0,904.880669009,1069.57552126,1881.7162627,3000.0
409.0,9.0,1007.81495167,1172.50980392,1986.05908457,3000.0
407.0,0.0,45.5552174592,246.101259993,652.561897442,1028.58572719
407.0,1.0,170.896494043,371.442536577,873.539084703,1249.56291445
407.0,2.0,296.237770626,496.78381316,1107.13825421,1483.16208396
407.0,3.0,421.57904721,622.125089744,1351.96301626,1727.98684601
407.0,4.0,546.920323794,747.466366328,1552.34902593,1928.37285568
407.0,5.0,672.261600377,872.807642911,1707.81803506,2083.84186481
407.0,6.0,797.602876961,998.148919495,1832.69665486,3000.0
407.0,7.0,922.944153545,1123.49019608,1937.03947673,3000.0
507.0,0.0,146.166980827,334.414984394,701.685467686,1054.65047552
507.0,1.0,263.821983057,452.069986624,922.127269282,1275.09227712
507.0,2.0,381.476985286,569.724988853,1142.56907369,1495.53408153
507.0,3.0,499.131987515,687.379991082,1386.47282018,1739.43782802
507.0,4.0,616.786989745,805.034993312,1586.85882985,1939.82383769
507.0,5.0,734.441991974,922.689995541,1742.32783898,2095.29284682
