plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
1,0,9,NaN,NaN,109,109,1,-5.3128,182.43,500,852.02
1,1,8,NaN,NaN,308,308,1,378.69,546.8,800,1152
1,2,6,1077,2000,406,406,1,478.69,686.78,900,1252
1,3,7,NaN,NaN,507,507,1,602.69,746.98,1000,1352
1,4,7,NaN,NaN,507,507,1,602.69,746.98,1000,1352
2,0,9,NaN,NaN,109,109,1,-22.252,165.49,500,852.02
2,1,8,NaN,NaN,308,308,1,359.75,532.19,800,1152
2,2,7,NaN,NaN,407,407,1,477.75,651.41,900,1252
2,3,6,997,2000,506,506,1,581.75,761.6,1000,1352
2,4,6,999,2000,506,506,1,581.75,761.6,1000,1352
3,0,9,NaN,NaN,109,109,1,-11.316,176.43,500,852.02
3,1,8,NaN,NaN,308,308,1,360.68,532.91,800,1152
3,2,7,NaN,NaN,407,407,1,476.68,650.63,900,1252
4,0,9,NaN,NaN,109,109,1,11.556,199.3,500,852.02
4,1,8,NaN,NaN,308,308,1,393.56,558.27,800,1152
4,2,7,1101,2000,507,507,1,605.56,749.08,900,1252
4,3,6,891,2000,606,606,1,753.56,883.17,1000,1352
4,4,6,893,2000,606,606,1,753.56,883.17,1000,1352
5,0,9,NaN,NaN,109,109,1,-0.13224,187.61,500,852.02
5,1,6,1071,2000,406,406,1,507.87,706.63,800,1152
5,2,6,983,2000,506,506,1,595.87,771.2,900,1252
5,3,5,853,2000,705,705,1,843.87,975.67,1000,1352
5,4,5,855,2000,705,705,1,843.87,975.67,1000,1352
6,0,9,NaN,NaN,109,109,1,4.7922,192.54,500,852.02
6,1,7,NaN,NaN,307,307,1,392.79,585.17,800,1152
6,2,7,NaN,NaN,407,407,1,506.79,672.71,900,1252
6,3,6,985,2000,506,506,1,594.79,770.47,1000,1352
6,4,6,989,2000,506,506,1,594.79,770.47,1000,1352
7,0,9,NaN,NaN,109,109,1,10.442,198.19,500,852.02
7,1,7,NaN,NaN,307,307,1,380.44,576.11,800,1152
7,2,7,NaN,NaN,407,407,1,508.44,673.92,900,1252
7,3,6,975,2000,506,506,1,602.44,775.67,1000,1352
