id_phen,index_phytomer,TT_em_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer,id_axis
111.0,1.0,-59.5948184388,97.298606993,523.544180789,817.661827848,1.0
110.0,1.0,-64.0269781333,104.654859484,514.242422363,830.520867895,1.0
112.0,1.0,-55.9353436744,91.168802052,533.093209615,808.913482852,1.0
408.0,1.0,178.458854492,358.838602494,747.829473183,1086.04150069,4.0
409.0,1.0,184.340690397,349.035542651,682.834074828,991.636922805,4.0
407.0,1.0,170.896494042,371.442536576,873.539084703,1249.56291445,4.0
508.0,1.0,272.646109394,437.363112297,813.931807842,1122.77618829,5.0
507.0,1.0,265.922824575,448.568586996,897.617465947,1240.07827049,5.0
506.0,1.0,256.958444815,463.509219928,1079.12803947,1466.4107428,5.0
509.0,1.0,277.87533092,428.647743087,738.52431101,1021.22258382,5.0
607.0,1.0,384.171003846,549.187634616,932.127269868,1241.53345256,6.0
608.0,1.0,390.06792312,539.359435827,884.831925952,1164.75351228,6.0
606.0,1.0,376.308444815,562.291899667,1113.63784339,1462.35682123,6.0
706.0,1.0,507.88785658,670.339285288,1148.14764731,1452.74407614,7.0
707.0,1.0,514.489771353,659.336093999,966.63707379,1238.22392875,7.0
705.0,1.0,498.645175898,685.743753092,1381.96301632,1732.77284856,7.0
