N_cohort,id_axis,frequency,Nff,a_cohort,TT_col_0,TT_col_break,TT_col_nff,dTT_MS_cohort
1.0,111.0,80.0,11.0,NA,NA,NA,NA,NA
1.0,110.0,16.0,10.0,NA,NA,NA,NA,NA
1.0,112.0,4.0,12.0,NA,NA,NA,NA,NA
4.0,408.0,63.0,8.0,NA,NA,NA,NA,NA
4.0,409.0,14.0,9.0,NA,NA,NA,NA,NA
4.0,407.0,14.0,7.0,NA,NA,NA,NA,NA
5.0,508.0,45.0,8.0,NA,NA,NA,NA,NA
5.0,507.0,44.0,7.0,NA,NA,NA,NA,NA
5.0,506.0,6.0,6.0,NA,NA,NA,NA,NA
5.0,509.0,3.0,9.0,NA,NA,NA,NA,NA
6.0,607.0,118.0,7.0,NA,NA,NA,NA,NA
6.0,606.0,24.0,6.0,NA,NA,NA,NA,NA
6.0,608.0,9.0,8.0,NA,NA,NA,NA,NA
7.0,707.0,12.0,7.0,NA,NA,NA,NA,NA
7.0,706.0,10.0,6.0,NA,NA,NA,NA,NA
7.0,705.0,4.0,5.0,NA,NA,NA,NA,NA
