DOY;heure;Rg;RdRg;Group
140;1;0;1;0
140;2;0;1;0
140;3;0;1;0
140;4;5.6;1;0
140;5;22.2;1;0
140;6;111.1;0.938276879;0
140;7;194.4;0.895532639;0
140;8;200;0.98700222;0
140;9;111.1;1;0
140;10;122.2;1;0
140;11;105.6;1;0
140;12;127.8;1;0
140;13;200;1;0
140;14;194.4;1;0
140;15;155.6;1;0
140;16;177.8;0.998433844;0
140;17;116.7;1;0
140;18;88.9;0.992328719;0
140;19;38.9;0.977444822;0
140;20;5.6;1;0
140;21;0;1;0
140;22;0;1;0
140;23;0;1;0
140;24;0;1;0
144;1;0;1;1
144;2;0;1;1
144;3;0;1;1
144;4;5.6;1;1
144;5;50;0.929692936;1
144;6;188.9;0.604687524;1
144;7;377.8;0.371254924;1
144;8;566.7;0.266217975;1
144;9;722.2;0.230062865;1
144;10;850;0.224263499;1
144;11;927.8;0.230370016;1
144;12;961.1;0.234174461;1
144;13;944.4;0.230370016;1
144;14;866.7;0.224263499;1
144;15;744.4;0.230062865;1
144;16;594.4;0.266217975;1
144;17;422.2;0.34912012;1
144;18;238.9;0.48693954;1
144;19;94.4;0.675371364;1
144;20;11.1;1;1
144;21;0;1;1
144;22;0;1;1
144;23;0;1;1
144;24;0;1;1
