id_dim,index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
111,1,9.45,0.38,2.84,0.16,0,0
111,2,9.27,0.37,2.93,0.18,0,0
…,…,…,…,…,…,…,…
111,11,10.74,1.2,14.72,0.39,15.35,0.3
110,1,9.59,0.38,2.78,0.16,0,0
110,2,8.79,0.47,3.07,0.18,0,0
…,…,…,…,…,…,…,…
110,10,13.49,1.2,12.69,0.39,14.63,0.3
…,…,…,…,…,…,…,…
408,1,8.99,0.38,3.27,0.16,0,0
408,2,10.1,0.5,4.31,0.19,0,0
…,…,…,…,…,…,…,…
408,8,10.74,1.2,14.72,0.39,15.35,0.3
…,…,…,…,…,…,…,…
708,1,14.48,0.38,8.39,0.16,0,0
708,2,16.24,0.5,9.53,0.19,4.05,0
…,…,…,…,…,…,…,…
708,8,10.74,1.2,14.72,0.39,15.35,0.3
