N_cohort,Nff,a_cohort,TT_col_0,TT_col_nff,n0,n1,n2
1,11,0.01,-0.77,1078,4.9,3.2,5.8
1,10,0.009,-0.77,1053.5,4.4,2.9,5.3
1,12,0.011,-0.77,1102.5,5.3,3.5,6.3
4,8,0.009,246.1,1148,3.2,3.2,4.9
4,9,0.01,246.1,1172.5,3.2,3.2,4.9
4,7,0.008,246.1,1123.5,3.2,3.2,4.9
4,10,0.011,246.1,1197,3.2,3.2,4.9
5,7,0.008,334.41,1158,3.1,3.2,4.9
5,8,0.009,334.41,1182.5,3.2,3.2,4.9
5,6,0.008,334.41,1133.5,2.6,3.2,4.9
5,9,0.01,334.41,1207,3.2,3.2,4.9
6,7,0.01,446.05,1168,2.6,3.2,4.9
6,6,0.009,446.05,1143.5,2.1,3.2,4.9
6,8,0.011,446.05,1192.5,3.1,3.2,4.9
7,6,0.01,568.81,1178,1.5,3.2,4.9
7,7,0.011,568.81,1202.5,2,3.2,4.9
