id_phen,index_phytomer,TT_em_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer
111,0,-157.63,-0.77,476.83,770.95
111,1,-59.59,97.3,523.54,817.66
…,…,…,…,…,…
111,11,921.09,1078,1891.55,3000
110,0,-169.45,-0.77,466.13,782.41
110,1,-64.03,104.65,514.24,830.52
…,…,…,…,…,…
110,10,884.81,1053.49,1867.04,3000
408,0,65.72,246.1,611.69,949.9
408,1,178.46,358.84,747.83,1086.04
…,…,…,…,…,…
408,8,967.62,1148,1961.55,3000
…,…,…,…,…,…
708,0,437.16,568.81,770.71,1017.53
708,1,519.44,651.08,919.34,1166.17
…,…,…,…,…,…
708,8,1095.38,1227.02,2040.57,3000
