Date,Type_mesure,ThermalTime,GroundCover,IC,P0(0°)
03/01/2011,photo,153.95507,6.233,0.7112107,93.768
13/01/2011,photo,203.26090,6.286,0.30635635,93.714
28/01/2011,photo,273.76414,8.053,0.257661276,91.947
01/02/2011,photo,274.19698,7.901,0.322663946,92.099
07/02/2011,photo,297.38393,9.899,0.126295456,90.101
14/02/2011,photo,346.40196,13.992,0.262301868,86.008
22/02/2011,photo,384.90452,16.108,0.334685187,83.893
03/03/2011,photo,435.13631,20.081,0.685204058,79.919
09/03/2011,photo,460.56339,24.185,0.812361135,75.815
16/03/2011,photo,524.54257,29.696,0.942786505,70.304
30/03/2011,photo,662.58771,35.839,2.813712092,64.161
13/04/2011,photo,843.02336,37.873,2.996926976,62.127
19/04/2011,photo,911.08840,38.155,4.575388591,61.845
26/04/2011,photo,1029.12465,38.490,2.996752315,61.510
03/05/2011,photo,1117.50769,42.639,3.320866446,57.361
09/05/2011,photo,1212.13219,47.822,3.39067747,52.178
23/05/2011,photo,1415.76519,56.251,4.408085298,43.749
