Date,Type_mesure,ThermalTime,P0(57.5°),PAI_vert,IC_PAIvert
28/01/2011,photo,273.436,0.8454,0.178,0.008973039
01/02/2011,photo,274.197,0.8537,0.170,0.014067457
07/02/2011,photo,295.915,0.8435,0.183,0.015510519
14/02/2011,photo,343.917,0.7722,0.275,0.02939946
22/02/2011,photo,383.146,0.7324,0.335,0.028450839
03/03/2011,photo,434.678,0.6681,0.434,0.025070617
09/03/2011,photo,458.424,0.6407,0.479,0.015720183
16/03/2011,photo,520.734,0.5206,0.705,0.021645821
28/03/2011,photo,636.590,0.3248,1.217,0.07064606
13/04/2011,photo,841.320,0.1573,1.999,0.086025497
19/04/2011,photo,905.390,0.1185,2.311,0.134107807
26/04/2011,photo,1024.034,0.0716,2.687,0.178537312
03/05/2011,photo,1114.409,0.0446,3.360,0.132879611
23/05/2011,photo,1410.853,0.0177,4.406,0.234432955
