index,nrel,Ll,Lw,Gl,Gd,El,Ed,phi0,shape
109,0.11111,5.9394,0.31162,3.075,0.2,0,0,65.473,0.88
109,0.22222,7.9073,0.25856,3.2222,0.26626,0,0,65.473,0.84
109,0.33333,11.061,0.3762,3.175,0.33252,0,0,65.473,0.77
109,0.44444,11.499,0.50267,3.9167,0.39878,0,0,45.494,0.74
109,0.55556,12.891,0.623,5.4214,0.46504,0,0,28.652,0.76
109,0.66667,8.91,0.81997,8.6,0.676717913,2.2625,0.36313,17.324,0.78
109,0.77778,2.497,0.98523,11.689,0.927495968,5.675,0.40563,26.726,0.79
109,0.88889,0.929,1.25,14.44,1.116690273,8.9,0.43625,39.759,0.79
109,1,0.766,1.5638,17.067,1.072863513,17.867,0.42878,37.363,0.73
110,0.1,5.4186,0.29369,3.1,0.2,0,0,65.473,0.88
110,0.2,7.4638,0.28957,3.0846,0.25301,0,0,65.473,0.84
110,0.3,9.5496,0.36988,2.8167,0.30602,0,0,65.473,0.76
110,0.4,11.59,0.48928,3.4867,0.35903,0,0,65.473,0.77
110,0.5,12.686,0.64135,4.9471,0.41203,0,0,45.494,0.74
110,0.6,8.029,0.77658,7.035,0.654437308,1.46,0.31504,28.652,0.76
110,0.7,2.197,0.94053,10.13,0.877243559,3.9957,0.36313,17.324,0.78
110,0.8,0.68,1.1193,12.771,1.028234596,6.86,0.40563,26.726,0.79
110,0.9,0.523,1.3004,14.995,1.134658096,9.55,0.43625,39.759,0.79
110,1,0.5,1.5299,16.414,0.57878,16.56,0.42878,37.363,0.73
111,0.090909,5,0.3,2.6333,0.2,0,0,65.473,0.88
111,0.18182,7.224,0.28305,2.7667,0.24417,0,0,65.473,0.84
111,0.27273,8.3812,0.32261,2.3,0.28835,0,0,65.473,0.76
111,0.36364,10.997,0.55025,3,0.33252,0,0,65.473,0.77
111,0.45455,12.089,0.49154,4.45,0.3767,0,0,65.473,0.74
111,0.54545,12.943,0.62678,5.6,0.42087,0,0,45.494,0.76
111,0.63636,10.832,0.85102,8.94,0.60503327,2.4667,0.31504,28.652,0.78
111,0.72727,4.06,1.0849,10.85,0.905263201,4.7833,0.36313,17.324,0.78
111,0.81818,1.669,1.1484,12.92,1.03492954,7.68,0.40563,26.726,0.79
111,0.90909,0.649,1.3044,14.44,1.117634032,11.52,0.43625,39.759,0.79
