"numJ","sT","PAR"
353,0,0.52
354,8,0.95
355,14,2.08
356,19,1.7
357,21,0.77
358,26,2.08
359,32,1.3
360,35,0.25
361,36,0.37
362,38,0.48
363,41,1.47
364,42,1.33
365,43,2.61
366,44,1.9
1,51,0.3
2,60,1.78
3,66,2.04
4,75,1.44
5,85,0.52
6,91,1.39
7,95,1.75
8,98,2.62
9,100,0.99
10,107,1.14
11,116,0.65
12,119,0.58
13,120,2.89
14,121,3.07
15,121,1.42
16,122,1.97
17,123,0.84
18,126,0.7
19,128,1.23
20,128,0.98
21,133,0.59
22,141,1.15
23,149,0.62
24,158,2.16
25,165,2.4
26,170,1.53
27,175,2.76
28,180,2.9
29,181,2.01
30,183,2.19
31,185,0.71
32,185,1.52
33,187,0.58
34,194,0.79
35,204,1.39
36,214,1.32
37,224,1.48
38,233,0.68
39,241,2.1
40,245,0.88
41,249,2.77
42,260,2.31
43,269,1.86
44,275,4.2
45,280,4.96
46,284,4.88
47,288,3.33
48,293,0.74
49,296,4.71
50,298,4.85
51,303,2.68
52,307,1.5
53,315,2.05
54,320,2.97
55,321,2.69
56,322,6.19
57,325,3.75
58,327,2.02
59,329,2.13
60,331,2.16
61,332,2.16
62,334,3.09
63,339,1.79
64,343,4.33
65,351,5.86
66,363,4.34
67,373,3.26
68,382,3.24
69,394,3.41
70,406,2.24
71,415,4.2
72,422,3.51
73,430,2.91
74,441,3.15
75,453,5.76
76,462,5.17
77,470,3.26
78,475,3.88
79,480,0.96
80,492,5.47
81,503,3.27
82,516,3.89
83,526,2.42
84,531,0.91
85,536,1.56
86,544,4.98
87,552,3.88
88,559,4.86
89,566,6.47
90,576,3.49
91,588,7.57
92,603,9.3
93,615,5.57
94,623,5.93
95,631,4.2
96,641,2.73
97,649,5.5
98,657,5.04
99,667,2.06
100,676,5.6
101,683,1.57
102,690,6.71
103,695,6.78
104,700,8.23
105,708,3.04
106,715,5.22
107,722,6
108,727,5.55
109,731,7
110,734,7.17
111,739,6.81
112,746,8.25
113,755,7.39
114,765,4.7
115,774,7.16
116,785,8.46
117,796,4.8
118,806,3.86
119,817,10.22
120,827,3.2
121,839,6.49
122,852,7.06
123,863,1.93
124,871,1.36
125,878,4.08
126,887,6.97
127,897,5.07
128,909,10.58
129,924,6.12
130,940,6.6
131,958,12.87
132,977,12.26
133,993,10.65
134,1005,5.09
135,1017,5.61
136,1031,7.24
137,1043,11.43
138,1054,9.04
139,1065,11.79
140,1079,13.65
141,1094,13.68
142,1109,13.2
143,1126,12.48
144,1144,7.07
145,1162,12.8
146,1180,10.9
147,1198,10.32
148,1219,12.92
149,1238,13.14
150,1257,13.16
151,1271,11.8
152,1285,9.58
153,1297,4.61
154,1307,13.57
155,1320,14.55
156,1337,11.05
157,1351,7.48
158,1365,6.36
159,1377,6.64
160,1389,10.7
161,1401,12.53
162,1414,13.2
163,1430,12.91
164,1446,8.54
165,1462,10.68
166,1477,5.01
167,1492,10.14
168,1506,6.67
169,1519,8.49
170,1533,14.08
171,1552,14.2
172,1569,13.26
173,1585,13.7
174,1604,13.58
175,1626,13.25
176,1649,13.75
177,1674,12.19
178,1692,7.25
179,1710,13.1
180,1732,13.58
181,1751,10.8
182,1769,13.11
183,1789,13.91
184,1812,13.29
185,1833,11.16
186,1852,5.9
187,1872,8.24
188,1888,4.34
189,1904,7.79
190,1922,10.28
191,1926,0.79
