index,nrel,tip,col,ssi,disp
109,0,-104,-104,-118,-118
109,0.11111,0,0,0,0
109,0.22222,104,104,118,118
109,0.33333,190,190,220,220
109,0.44444,276,276,386,386
109,0.55556,386,386,560,560
109,0.66667,470,470,878,3000
109,0.77778,586,586,1014,3000
109,0.88889,678,678,1100,3000
109,1,770,770,1166,3000
110,0,-90,-90,-106,-106
110,0.1,0,0,0,0
110,0.2,90,90,106,106
110,0.3,158,158,210,210
110,0.4,228,228,324,324
110,0.5,316,316,438,438
110,0.6,416,416,654,654
110,0.7,494,494,908,3000
110,0.8,584,584,1032,3000
110,0.9,668,668,1116,3000
110,1,756,756,1180,3000
111,0,-82,-82,-88,-88
111,0.090909,0,0,0,0
111,0.18182,82,82,88,88
111,0.27273,144,144,180,180
111,0.36364,186,186,266,266
111,0.45455,282,282,410,410
111,0.54545,374,374,526,526
111,0.63636,452,452,820,820
111,0.72727,534,534,986,3000
111,0.81818,624,624,1084,3000
111,0.90909,702,702,1154,3000
111,1,776,776,1212,3000
307,0,-78,-78,-160,-160
307,0.14286,0,0,0,0
307,0.28571,78,78,160,160
307,0.42857,156,156,432,432
307,0.57143,236,236,712,3000
307,0.71429,314,314,826,3000
307,0.85714,392,392,904,3000
307,1,472,472,964,3000
308,0,-68,-68,-90,-90
308,0.125,0,0,0,0
308,0.25,68,68,90,90
308,0.375,134,134,182,182
308,0.5,202,202,460,460
308,0.625,270,270,736,3000
308,0.75,338,338,840,3000
308,0.875,406,406,912,3000
308,1,474,474,966,3000
406,0,-80,-80,-142,-142
406,0.16667,0,0,0,0
406,0.33333,80,80,142,142
406,0.5,160,160,484,3000
406,0.66667,240,240,694,3000
406,0.83333,320,320,802,3000
406,1,400,400,880,3000
407,0,-68,-68,-78,-78
407,0.14286,0,0,0,0
407,0.28571,68,68,78,78
407,0.42857,138,138,158,158
407,0.57143,206,206,582,3000
407,0.71429,274,274,734,3000
407,0.85714,342,342,822,3000
407,1,412,412,888,3000
506,0,-66,-66,-78,-78
506,0.16667,0,0,0,0
506,0.33333,66,66,78,78
506,0.5,130,130,530,3000
506,0.66667,196,196,672,3000
506,0.83333,260,260,756,3000
506,1,326,326,818,3000
507,0,-58,-58,-54,-54
507,0.14286,0,0,0,0
507,0.28571,58,58,54,54
507,0.42857,116,116,502,502
507,0.57143,174,174,646,3000
507,0.71429,232,232,726,3000
507,0.85714,290,290,784,3000
507,1,348,348,830,3000
605,0,-58,-58,-140,-140
605,0.2,0,0,0,0
605,0.4,58,58,140,3000
605,0.6,118,118,510,3000
605,0.8,176,176,684,3000
605,1,236,236,792,3000
606,0,-48,-48,-62,-62
606,0.16667,0,0,0,0
606,0.33333,48,48,62,62
606,0.5,96,96,582,3000
606,0.66667,144,144,696,3000
606,0.83333,194,194,768,3000
606,1,242,242,824,3000
705,0,-28,-28,-106,-106
705,0.2,0,0,0,0
705,0.4,28,28,106,3000
705,0.6,56,56,644,3000
705,0.8,82,82,746,3000
705,1,112,112,816,3000
