"rankclass","s","r"
1,0,0.749641431347964
1,0.0499999999999999,0.891969763897446
1,0.1,0.933594337576446
1,0.15,0.952024648460081
1,0.2,0.963259965175101
1,0.25,0.974733606479229
1,0.3,0.980619082021734
1,0.35,0.986217743967834
1,0.4,0.987593060441485
1,0.45,0.983906169143378
1,0.5,0.96684661613788
1,0.55,0.930912472265169
1,0.6,0.881796332737382
1,0.65,0.814537851138689
1,0.7,0.753721465871981
1,0.75,0.688726694745789
1,0.8,0.609251320188514
1,0.85,0.507959206961709
1,0.9,0.39150022620295
1,0.95,0.235791985834896
1,1,0.0890345082285323
2,0,0.698799967872705
2,0.0499999999999999,0.873493910007073
2,0.1,0.932010169519393
2,0.15,0.951899900113527
2,0.2,0.968543021142406
2,0.25,0.982907318087727
2,0.3,0.991360830774023
2,0.35,0.990558051555703
2,0.4,0.982931258010814
2,0.45,0.96374330044712
2,0.5,0.938821374382154
2,0.55,0.902592695458717
2,0.6,0.855011301654152
2,0.65,0.791901324784381
2,0.7,0.715000833206899
2,0.75,0.634291058391365
2,0.8,0.548436247347951
2,0.85,0.451470459165739
2,0.9,0.333543221487041
2,0.95,0.17151468083982
2,1,0.0478815327236749
